date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:32	93739/93739	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Nov%202024%2001:26:32%20GMT	https://edu.ieee.org/pe-unmsm-wie/	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/index.html	(from )
20:26:32	118/118	---MCZ	200	added ('OK')	text/plain	date:Fri,%2015%20Nov%202024%2023:21:08%20GMT	https://edu.ieee.org/robots.txt		(from )
20:26:32	155133/155133	---M-Z	200	added ('OK')	application/javascript	etag:%22b46d329c6bbc7600c11819b2ce070ffb%22	https://cmp.osano.com/AzyzptTmRlqVd2LRf/b32c5dae-5f09-4ddb-9f8a-788ce9a32fc4/osano.js	C:/Mis%20lugares%20Web/AWS/cmp.osano.com/AzyzptTmRlqVd2LRf/b32c5dae-5f09-4ddb-9f8a-788ce9a32fc4/osano.js	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:33	2397/2397	---MCZ	200	added ('OK')	text/css	etag:W/%227ea1157c3ffc79fd247404a4babbcdbe%22	https://cookie-consent.ieee.org/ieee-cookie-banner.css	C:/Mis%20lugares%20Web/AWS/cookie-consent.ieee.org/ieee-cookie-banner.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:33	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2016%20Nov%202024%2001:26:34%20GMT	https://edu.ieee.org/pe-unmsm-wie/xmlrpc.php	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/xmlrpc.php	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:33	7223/7223	---MCZ	200	added ('OK')	text/css	etag:W/%22672a6dfc-1c37%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/themes/sydney/css/bootstrap/bootstrap.min.css?ver=1	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/themes/sydney/css/bootstrap/bootstrap.min68b3.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:34	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22672ce139-b4e%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/plugins/contact-form-7/includes/css/stylesf049.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:34	71620/71620	---MCZ	200	added ('OK')	text/css	etag:W/%22672e7bf7-117c4%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/plugins/embedpress/assets/css/embedpress.css?ver=6.6.2	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/plugins/embedpress/assets/css/embedpress109c.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:34	1339/1339	---MCZ	200	added ('OK')	text/css	etag:W/%22672a6dfc-53b%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/themes/sydney/style.css?ver=20230821	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/themes/sydney/style8bc1.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:34	10196/10196	---MCZ	200	added ('OK')	text/css	etag:W/%22672a6dfc-27d4%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/themes/sydney/css/components/elementor.min.css?ver=20220824	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/themes/sydney/css/components/elementor.min2443.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:34	49228/49228	---MCZ	200	added ('OK')	text/css	etag:W/%22672a6dfc-c04c%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/themes/sydney/css/styles.min.css?ver=20240307	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/themes/sydney/css/styles.mineb08.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:35	104336/104336	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22dfc4cb5459c9a447b6054df8156634d3-gzip%22	https://edu.ieee.org/pe-unmsm-wie/feed/	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/feed/index.html	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:35	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22603ffca6-e688%22	https://edu.ieee.org/pe-unmsm-wie/wp-includes/css/dashicons.min.css?ver=6.6.2	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-includes/css/dashicons.min109c.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:35	19862/19862	---MCZ	200	added ('OK')	text/css	etag:W/%2267339971-4d96%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.31.0	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min0fd8.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:35	60575/60575	---MCZ	200	added ('OK')	text/css	etag:W/%2267339971-ec9f%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.5	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor/assets/css/frontend.min3e3b.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:35	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2267339971-4057%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:35	742/742	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22dfc4cb5459c9a447b6054df8156634d3-gzip%22	https://edu.ieee.org/pe-unmsm-wie/comments/feed/	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/comments/feed/index.html	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:35	10260/10260	---MCZ	200	added ('OK')	text/css	etag:W/%2267339971-2814%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.5	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min3e3b.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:36	1302/1302	---MCZ	200	added ('OK')	text/css	etag:W/%2266466910-516%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/uploads/sites/53/elementor/css/post-631.css?ver=1715890448	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/uploads/sites/53/elementor/css/post-63183af.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:36	456376/456376	---MCZ	200	added ('OK')	text/css	etag:W/%226646266e-6f6b8%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.21.2	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/plugins/elementor-pro/assets/css/frontend.min08e6.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:36	9761/9761	---MCZ	200	added ('OK')	text/css	etag:W/%226683814e-2621%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/uploads/sites/53/elementor/css/post-50.css?ver=1719894350	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/uploads/sites/53/elementor/css/post-50fadc.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:36	6057/6057	---MCZ	200	added ('OK')	text/css	etag:W/%226690a6fe-17a9%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/plugins/team-members/inc/css/tmm_style.css?ver=6.6.2	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/plugins/team-members/inc/css/tmm_style109c.css	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:37	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://edu.ieee.org/pe-unmsm-wie/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-includes/js/jquery/jquery.minf43b.js	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:37	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%226482bd64-3509%22	https://edu.ieee.org/pe-unmsm-wie/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:38	33478/33478	---MCZ	200	added ('OK')	application/json	date:Sat,%2016%20Nov%202024%2001:26:38%20GMT	https://edu.ieee.org/pe-unmsm-wie/wp-json/wp/v2/pages/50	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-json/wp/v2/pages/50.json	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:38	239172/239172	---MCZ	200	added ('OK')	application/json	date:Sat,%2016%20Nov%202024%2001:26:38%20GMT	https://edu.ieee.org/pe-unmsm-wie/wp-json/	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-json/index.html	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:38	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2016%20Nov%202024%2001:26:38%20GMT	https://edu.ieee.org/pe-unmsm-wie/xmlrpc.php?rsd	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/xmlrpc0db0.php	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:39	2342/2342	---MCZ	200	added ('OK')	application/json	date:Sat,%2016%20Nov%202024%2001:26:39%20GMT	https://edu.ieee.org/pe-unmsm-wie/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fedu.ieee.org%2Fpe-unmsm-wie%2F	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-json/oembed/1.0/embedaf95.json	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:40	2498/2498	---MCZ	200	added ('OK')	text/xml	date:Sat,%2016%20Nov%202024%2001:26:41%20GMT	https://edu.ieee.org/pe-unmsm-wie/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fedu.ieee.org%2Fpe-unmsm-wie%2F&format=xml	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-json/oembed/1.0/embed2b0f	(from https://edu.ieee.org/pe-unmsm-wie/)
20:26:40	653/653	---M--	200	added ('OK')	image/jpeg	etag:%22602dd19f-28d%22	https://edu.ieee.org/pe-unmsm-wie/wp-content/uploads/sites/53/cropped-wie-logo-32x32.jpg	C:/Mis%20lugares%20Web/AWS/edu.ieee.org/pe-unmsm-wie/wp-content/uploads/sites/53/cropped-wie-logo-32x32.jpg	(from https://edu.ieee.org/pe-unmsm-wie/)
